geo_join_id,neighborhood,data_value,message
103,Fordham - Bronx Pk,30.6,
103,Fordham - Bronx Pk,14.53239135,
104,Pelham - Throgs Neck,19.3,
104,Pelham - Throgs Neck,13.90486558,
104,Pelham - Throgs Neck,19.2,
104,Pelham - Throgs Neck,28.4,
105,Crotona -Tremont,21.6,
105,Crotona -Tremont,18.08998516,
105,Crotona -Tremont,23.3,
105,Crotona -Tremont,35.3,
106,High Bridge - Morrisania,23.5,
106,High Bridge - Morrisania,39,
106,High Bridge - Morrisania,24.1,
106,High Bridge - Morrisania,17.83250599,
107,Hunts Point - Mott Haven,36.8,
107,Hunts Point - Mott Haven,19.71564401,
107,Hunts Point - Mott Haven,25,
107,Hunts Point - Mott Haven,24.3,
201,Greenpoint,28.9,
201,Greenpoint,20.5,
201,Greenpoint,15.83976162,
201,Greenpoint,15.9,
202,Downtown - Heights - Slope,14.4,
202,Downtown - Heights - Slope,28.6,
202,Downtown - Heights - Slope,19.8,
202,Downtown - Heights - Slope,15.67040675,
203,Bedford Stuyvesant - Crown Heights,17.73841928,
203,Bedford Stuyvesant - Crown Heights,34.3,
203,Bedford Stuyvesant - Crown Heights,23.9,
203,Bedford Stuyvesant - Crown Heights,22.3,
204,East New York,22.4,
204,East New York,32.8,
204,East New York,16.93393312,
204,East New York,22.8,
205,Sunset Park,11.74644053,
205,Sunset Park,24.3,
205,Sunset Park,12.4,
205,Sunset Park,17.1,
206,Borough Park,13.91853033,
206,Borough Park,16.1,
206,Borough Park,26.8,
206,Borough Park,19.9,
207,East Flatbush - Flatbush,24,
207,East Flatbush - Flatbush,18.3,
207,East Flatbush - Flatbush,18.5,
207,East Flatbush - Flatbush,13.42158382,
208,Canarsie - Flatlands,18.3,
208,Canarsie - Flatlands,13.05878036,
208,Canarsie - Flatlands,25.1,
208,Canarsie - Flatlands,18.3,
208,Bensonhurst - Bay Ridge,16.5,
208,Bensonhurst - Bay Ridge,14.2,
208,Bensonhurst - Bay Ridge,11.12082675,
208,Bensonhurst - Bay Ridge,25.8,
210,Coney Island - Sheepshead Bay,15.00956468,
210,Coney Island - Sheepshead Bay,33.8,
210,Coney Island - Sheepshead Bay,22.3,
210,Coney Island - Sheepshead Bay,20,
211,Williamsburg - Bushwick,21,
211,Williamsburg - Bushwick,26.9,
211,Williamsburg - Bushwick,37.8,
211,Williamsburg - Bushwick,19.2025655,
301,Washington Heights,17.1,
301,Washington Heights,27.6,
301,Washington Heights,18.1,
301,Washington Heights,13.99667126,
302,Central Harlem - Morningside Heights,19.7,
302,Central Harlem - Morningside Heights,16.21187943,
302,Central Harlem - Morningside Heights,35.1,
302,Central Harlem - Morningside Heights,20.2,
303,East Harlem,23.3,
303,East Harlem,39,
303,East Harlem,20.68763035,
303,East Harlem,25.5,
304,Upper West Side,18.4,
304,Upper West Side,12,
304,Upper West Side,9.568118901,
304,Upper West Side,12.3,
305,Upper East Side,14.2,
305,Upper East Side,9.18145178,
305,Upper East Side,11.1,
305,Upper East Side,11,
306,Chelsea - Clinton,20.6,
306,Chelsea - Clinton,11.7,
306,Chelsea - Clinton,11.78887397,
306,Chelsea - Clinton,11.7,
307,Gramercy Park - Murray Hill,12.08386218,
307,Gramercy Park - Murray Hill,17.1,
307,Gramercy Park - Murray Hill,12,
307,Gramercy Park - Murray Hill,12.9,
308,Greenwich Village - SoHo,7.287549969,
308,Greenwich Village - SoHo,8.3,
308,Greenwich Village - SoHo,13.4,
308,Greenwich Village - SoHo,9.6,
309,Union Square - Lower East Side,18.5,
309,Union Square - Lower East Side,15.6,
309,Union Square - Lower East Side,12.65778913,
309,Union Square - Lower East Side,25.1,
310,Lower Manhattan,18.6,
310,Lower Manhattan,12.3560724,
310,Lower Manhattan,14,
310,Lower Manhattan,10.9,
401,Long Island City - Astoria,15.6,
401,Long Island City - Astoria,14.7,
401,Long Island City - Astoria,22.6,
401,Long Island City - Astoria,11.37739651,
402,West Queens,13.2,
402,West Queens,12.7,
402,West Queens,8.840456996,
402,West Queens,18.4,
403,Flushing - Clearview,19.2,
403,Flushing - Clearview,9.199638652,
403,Flushing - Clearview,12.8,
403,Flushing - Clearview,14.1,
404,Bayside - Little Neck,11.7,
404,Bayside - Little Neck,18.3,
404,Bayside - Little Neck,8.655823604,
404,Bayside - Little Neck,12.5,
405,Ridgewood - Forest Hills,11.23713753,
405,Ridgewood - Forest Hills,25.2,
405,Ridgewood - Forest Hills,15.7,
405,Ridgewood - Forest Hills,14.5,
406,Fresh Meadows,14.9,
406,Fresh Meadows,11.7,
406,Fresh Meadows,9.366114155,
406,Fresh Meadows,19.9,
407,Southwest Queens,13.30111392,
407,Southwest Queens,19.9,
407,Southwest Queens,25.6,
407,Southwest Queens,18.5,
408,Jamaica,18.9,
408,Jamaica,14.390081,
408,Jamaica,19.4,
408,Jamaica,24.4,
409,Southeast Queens,11.22056534,
409,Southeast Queens,19.2,
409,Southeast Queens,17.3,
409,Southeast Queens,14.5,
410,Rockaways,21,
410,Rockaways,28.8,
410,Rockaways,19.8,
410,Rockaways,13.87415099,
501,Port Richmond,25.5,
501,Port Richmond,12.48938167,
501,Port Richmond,16.4,
501,Port Richmond,17.9,
502,Stapleton - St. George,19.1,
502,Stapleton - St. George,25.9,
502,Stapleton - St. George,16.9,
502,Stapleton - St. George,12.73708031,
503,Willowbrook,27.1,
503,Willowbrook,14.0487494,
503,Willowbrook,16.8,
503,Willowbrook,17.8,
504,South Beach - Tottenville,15.2,
504,South Beach - Tottenville,23.9,
504,South Beach - Tottenville,15.6,
504,South Beach - Tottenville,11.39385897,
