geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,NA,Estimate is suppressed due to insufficient data.
102,Northeast Bronx,NA,Estimate is suppressed due to insufficient data.
103,Fordham - Bronx Pk,83.6,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,92.6,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,71.6,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,58.4,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,NA,Estimate is suppressed due to insufficient data.
201,Greenpoint,84.8,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,88.2,Estimate is based on small numbers so should be interpreted with caution.
203,Bedford Stuyvesant - Crown Heights,90.6,Estimate is based on small numbers so should be interpreted with caution.
204,East New York,NA,Estimate is suppressed due to insufficient data.
205,Sunset Park,69,Estimate is based on small numbers so should be interpreted with caution.
206,Borough Park,75.7,Estimate is based on small numbers so should be interpreted with caution.
207,East Flatbush - Flatbush,78.8,Estimate is based on small numbers so should be interpreted with caution.
208,Canarsie - Flatlands,NA,Estimate is suppressed due to insufficient data.
208,Bensonhurst - Bay Ridge,NA,Estimate is suppressed due to insufficient data.
210,Coney Island - Sheepshead Bay,NA,Estimate is suppressed due to insufficient data.
211,Williamsburg - Bushwick,79.2,Estimate is based on small numbers so should be interpreted with caution.
301,Washington Heights,73.7,Estimate is based on small numbers so should be interpreted with caution.
302,Central Harlem - Morningside Heights,95.8,Estimate is based on small numbers so should be interpreted with caution.
303,East Harlem,76.8,Estimate is based on small numbers so should be interpreted with caution.
304,Upper West Side,NA,Estimate is suppressed due to insufficient data.
305,Upper East Side,91.5,Estimate is based on small numbers so should be interpreted with caution.
306,Chelsea - Clinton,NA,Estimate is suppressed due to insufficient data.
307,Gramercy Park - Murray Hill,NA,Estimate is suppressed due to insufficient data.
308,Greenwich Village - SoHo,86.7,Estimate is based on small numbers so should be interpreted with caution.
309,Union Square - Lower East Side,82.8,
310,Lower Manhattan,NA,Estimate is suppressed due to insufficient data.
401,Long Island City - Astoria,NA,Estimate is suppressed due to insufficient data.
402,West Queens,NA,Estimate is suppressed due to insufficient data.
403,Flushing - Clearview,NA,Estimate is suppressed due to insufficient data.
404,Bayside - Little Neck,NA,Estimate is suppressed due to insufficient data.
405,Ridgewood - Forest Hills,NA,Estimate is suppressed due to insufficient data.
406,Fresh Meadows,92.1,Estimate is based on small numbers so should be interpreted with caution.
407,Southwest Queens,90.7,Estimate is based on small numbers so should be interpreted with caution.
408,Jamaica,75.8,Estimate is based on small numbers so should be interpreted with caution.
409,Southeast Queens,NA,Estimate is suppressed due to insufficient data.
410,Rockaways,73.5,Estimate is based on small numbers so should be interpreted with caution.
501,Port Richmond,NA,Estimate is suppressed due to insufficient data.
502,Stapleton - St. George,NA,Estimate is suppressed due to insufficient data.
503,Willowbrook,NA,Estimate is suppressed due to insufficient data.
504,South Beach - Tottenville,NA,Estimate is suppressed due to insufficient data.
