Pesticide Type	EPA Reg. #	EPA Prod Name	Volume in Gallons	Weight in Pounds	Total Applications	Active Ingredient Data	tox_cd	EPA Carcinogen	Prop65 Developmental Toxin	IARC Carcinogen
Insecticide,499-527,PRESCRIPTION TREATMENT BRAND ALPINE DUST INSECTICIDE,0,0.04,1,Dinotefuran; Diatomaceous earth,3,NO,NO,NO
Insecticide,2724-375,ALTOSID BRIQUETS,0,0.01,1,S-Methoprene,3,NO,NO,NO
Insecticide,499-496,PRESCRIPTION TREATMENT BRAND ADVANCE 360A DUAL CHOICE ANT BAIT STATIONS,0,0,1,Avermectin,3,NO,YES,NO
INSECTICIDE,49538-5,PHYTON-016-B,0,0,1,Copper sulfate (pentahydrate),2,NO,NO,NO
Insecticide,100-1218,DEMON MAX INSECTICIDE,0,0,1,"Cypermethrin, beta",2,YES,NO,NO
Insecticide,101563-130,SPIROTETRAMAT 240 SC GREENHOUSE AND NURSERY INSECTICIDE/MITICIDE,0,0,1,Spirotetramat,3,NO,NO,NO
Herbicide,62719-527,GARLON 4 ULTRA,123.59,99.38,431,Triclopyr,2,NO,NO,NO
HERBICIDE,62719-519,MILESTONE,22.14,0,414,"Aminopyralid, triisopropanolamine salt",3,NO,NO,NO
Herbicide,62719-176,PATHFINDER II,92.42,225.63,388,"Triclopyr, butoxyethyl ester",3,NO,NO,NO
Herbicide,7969-443,DERRINGER HERBICIDE,199.41,0,359,Glufosinate-ammonium,2,NO,NO,NO
Herbicide,101563-144,ESPLANADE 200 SC,5.27,0,358,Indaziflam,3,NO,NO,NO
HERBICIDE,228-534,NUFARM POLARIS HERBICIDE,52.5,0,354,"Imazapyr, isopropylamine salt",3,NO,NO,NO
HERBICIDE,101563-177,METHOD 240SL HERBICIDE,10.2,0,354,Aminocyclopyrachlor potassium salt,3,NO,NO,NO
Herbicide,100-937,PRIMO MAXX,39.6,0,59,Trinexapac-ethyl,3,NO,NO,NO
HERBICIDE,228-743,NUP-18013,20.45,0,55,Glufosinate-ammonium,3,NO,NO,NO
Herbicide,62719-542,DIMENSION 2EW,64.57,0,50,Dithiopyr,2,NO,NO,NO
Herbicide,86064-3,ARMOR TECH PGR 113 MC,20.39,0,47,Trinexapac-ethyl,3,NO,NO,NO
Herbicide,89442-7,TRIN-PAC SELECT,19.64,0,46,Trinexapac-ethyl,3,NO,NO,NO
Herbicide,241-437-67690,CLEARCAST HERBICIDE,9.46,0,41,Imazamox,3,NO,NO,NO
Herbicide,62719-324,GLYPRO,6.08,0,33,"Glyphosate, isopropylamine salt",3,NO,NO,YES
Herbicide,1001-91,GWN-6010 PLANT GROWTH REGULATOR,0.75,150.81,32,Prohexadione calcium,3,NO,NO,NO
Herbicide,10163-325,SCYTHE HERBICIDE,0,557.5,32,Nonanoic acid,2,NO,NO,NO
HERBICIDE,83100-76,GF-1280,2.43,0,30,"Glyphosate, dimethylammonium salt",3,NO,NO,YES
HERBICIDE,67690-46,LEGACY TURF GROWTH REGULATOR,6.55,0,23,Trinexapac-ethyl; Flurprimidol,2,NO,NO,NO
HERBICIDE,53883-505,PRAMITOL 25E,15,0,21,Prometon,3,NO,NO,NO
Herbicide,432-950,ACCLAIM EXTRA HERBICIDE,6.19,0,20,Fenoxaprop-P (+),3,NO,NO,NO
Herbicide,524-517,ACCORD XL HERBICIDE,1.66,0,19,"Glyphosate, isopropylamine salt",3,NO,NO,YES
HERBICIDE,7969-464,"FINALE XL ",32.23,0,17,Glufosinate-ammonium,2,NO,NO,NO
Herbicide,62719-687,VASTLAN,18.26,0,17,"Triclopyr, Choline Salt",2,NO,NO,NO
Herbicide,100-1267,TENACITY,0.28,0,16,Mesotrione,3,NO,NO,NO
Herbicide,101563-40,PROXY GROWTH REGULATOR,86.72,0,14,Ethephon,1,NO,NO,NO
Herbicide,7969-327,PYLEX HERBICIDE,0.5,0,12,Topramezone,3,NO,NO,NO
Herbicide,524-579,ROUNDUP PROMAX,9.07,0,10,"Glyphosate, potassium salt",3,NO,NO,YES
HERBICIDE,67702-26,Fiesta Herbicide,210.08,0,9,Iron HEDTA,3,NO,NO,NO
Herbicide,81880-1-10163,SEDGEHAMMER,2.7,0.25,9,Halosulfuron-methyl,3,NO,NO,NO
Herbicide,92967-1,AVENGER WEED KILLER CONCENTRATE,7.92,0,8,"Limonene ",3,NO,NO,NO
Herbicide,101563-188,DUPONT VIEWPOINT HERBICIDE,2.59,0,8,Aminocyclopyrachlor; Imazapyr; Metsulfuron-methyl,3,NO,NO,NO
Herbicide,62719-560,EF-1343,0.44,0,8,Florasulam,3,NO,NO,NO
Herbicide,279-3265,F8426 HERBICIDE,0.19,0,8,Carfentrazone-ethyl,3,NO,NO,NO
"HERBICIDE ",241-416-10404,LESCO PRE-M AQUACAP HERBICIDE,20.75,0,7,Pendimethalin,3,YES,NO,NO
Herbicide,228-615,CLASH SELECTIVE HERBICIDE,3.89,0,7,"Dicamba, diglycolamine salt",3,NO,NO,NO
Herbicide,70299-23,AXXE BROAD SPECTRUM HERBICIDE,0,68,7,"Nonanoic  acid,  ammonium  salt",2,NO,NO,NO
HERBICIDE,71368-112,"CHEETAH ",0.38,0,6,Glufosinate-ammonium,2,NO,NO,NO
Herbicide,100-1014,PACLOBUTRAZOL 2SC,14.3,0,5,Paclobutrazol,3,NO,NO,NO
HERBICIDE,228-741,NUP-16011 Herbicide,11.07,0,5,"2,4-D, 2-ethylhexyl ester; Fluroxypyr 1-methylheptyl ester; Flumioxazin; Triclopyr, butoxyethyl ester",3,NO,NO,NO
HERBICIDE,71368-114,Panther SC - Non-Crop Herbicide,1.63,0,5,Flumioxazin,0,NO,NO,NO
Herbicide,524-529,ROUNDUP PRO CONCENTRATE,1.51,0,5,"Glyphosate, isopropylamine salt",3,NO,NO,YES
Herbicide,228-379,DIABLO HERBICIDE,1.43,0,5,"Dicamba, dimethylamine salt",3,NO,NO,NO
Herbicide,228-317,COOL POWER SELECTIVE HERBICIDE,0.65,0,5,"Dicamba; MCPA, 2-ethyl hexyl ester; Triclopyr, butoxyethyl ester",3,NO,NO,NO
Herbicide,66222-151,ETHEPHON 2SL,21.88,0,4,Ethephon,1,NO,NO,NO
Herbicide,228-409,TRIPLET LOW ODOR PREMIUM SELECTIVE HERBICIDE,11,0,4,"2,4-D, triisopropanolamine salt; Dicamba; MCPP-P, dimethylamine salt",1,NO,NO,NO
Herbicide,228-397,RIVERDALE VANQUISH HERBICIDE,0.03,0,4,"Dicamba, diglycolamine salt",3,NO,NO,NO
Herbicide,7969-444,FINALE HERBICIDE,18,0,3,Glufosinate-ammonium,2,NO,NO,NO
Herbicide,66222-151-73220,QUALI-PRO ETHEPHON 2 SL,16.68,0,3,Ethephon,1,NO,NO,NO
HERBICIDE,2217-1072,EH-1663 Herbicide,4.85,0,3,Pyrimisulfan,3,NO,NO,NO
HERBICIDE,89442-57,PS.H.1001,1.47,0,3,"Quinclorac, Dimethylamine Salt",3,NO,NO,NO
Herbicide,53883-336,QUINCLORAC 1.5 L,1.45,0,3,"Quinclorac, Dimethylamine Salt",3,NO,NO,NO
Herbicide,62719-566,TURFLON ESTER ULTRA,1.18,0,3,"Triclopyr, butoxyethyl ester",3,NO,NO,NO
HERBICIDE,1381-253,ASCEND SL,0.47,0,3,Gibberellins; IBA; Cytokinin,3,NO,NO,NO
Herbicide,62719-305,LONTREL TURF AND ORNAMENTAL,0.42,0,3,Clopyralid,3,NO,NO,NO
HERBICIDE,59639-258,Regiment EZ Herbicide,0.2,0,3,Bispyribac-sodium,3,NO,NO,NO
Herbicide,2217-696,BETAMEC 4 PRE-EMERGENCE GRASS KILLER,20.5,0,2,Bensulide,3,NO,NO,NO
Herbicide,53883-379,QUALI-PRO PRODIAMINE 4L,20.13,0,2,Prodiamine,3,YES,NO,NO
HERBICIDE,100-1412,CLARELLE,5.72,0,2,Paclobutrazol,3,NO,NO,NO
Herbicide,2217-656-72112,VESSEL,3,0,2,"Dicamba, dimethylamine salt; 2,4-D, dimethylamine salt; MCPP-P, dimethylamine salt",1,NO,NO,NO
Herbicide,2217-833,SPEED ZONE BROADLEAF HERBICIDE,2.92,0,2,"2,4-D, 2-ethylhexyl ester; Carfentrazone-ethyl; Dicamba; Mecroprop-p",3,YES,NO,NO
Herbicide,42750-247,DUPONT KRENITE S BRUSH CONTROL AGENT,2.5,0,2,"Fosamine, ammonium salt",3,NO,NO,NO
Herbicide,524-535,ROUNDUP QUIKPRO HERBICIDE,2.34,0,2,"Glyphosate, monoammonium salt; Diquat dibromide",3,NO,NO,YES
HERBICIDE,7969-398,Segment II Herbicide,2,0,2,Sethoxydim,2,NO,NO,NO
Herbicide,62097-24-53883,PAC-LOW,1.5,0,2,Paclobutrazol,3,NO,NO,NO
HERBICIDE,538-317-961,Lebanon ProScape Fertilizer with 0.08% MESO Preemergent Weed Control,0,550,2,Mesotrione,3,NO,NO,NO
Herbicide,228-711,NUFARM PROSEDGE SELECTIVE HERBICIDE2,0,16.87,2,Halosulfuron-methyl,3,NO,NO,NO
HERBICIDE,53883-500,CSI 21-405 Dimension 2EW,7.36,0,1,Dithiopyr,2,NO,NO,NO
Herbicide,86064-5,ARMORTECH (R) THREESOME(TM),7.25,0,1,"2,4-D, dimethylamine salt; Dicamba, dimethylamine salt; MCPP-P, dimethylamine salt",1,NO,NO,NO
HERBICIDE,89442-22-72159,3-WAY MAX TURF & ORNAMENTAL BROADLEAF HERBICIDE,5,0,1,"Dicamba, dimethylamine salt; 2,4-D; MCPA, dimethylamine salt",2,NO,NO,YES
Herbicide,87373-4-5905,HELENA T-METHYL 4.5 F-T&O,5,0,1,Thiophanate-methyl,3,YES,YES,NO
Herbicide,228-312,TRIPLET SF,4.77,0,1,"Dicamba, dimethylamine salt; 2,4-D, dimethylamine salt; MCPP-P, dimethylamine salt",1,NO,NO,NO
Herbicide,53883-399,Quali Pro Dithiopyr L,2.25,0,1,Dithiopyr,2,NO,NO,NO
Herbicide,228-744,Q-BALL HERBICIDE,2,0,1,"Quinclorac, Dimethylamine Salt",3,NO,NO,NO
Herbicide,2217-758,TRIMEC 937 HERBICIDE,1.72,0,1,"2,4-D, 2-ethylhexyl ester; 2,4-DP-P, isooctyl ester; Dicamba",2,NO,NO,NO
HERBICIDE,42750-224-10404,LESCO Quin-Way 1.5L Herbicide,1,0,1,"Quinclorac, Dimethylamine Salt",3,NO,NO,NO
Herbicide,7969-272,DRIVE XLR8 HERBICIDE,0.6,0,1,Quinclorac,3,NO,NO,NO
Herbicide,62719-92,CONFRONT,0.45,0,1,"Clopyralid, triethanolamine; Triclopyr, triethylamine salt",1,NO,NO,NO
Herbicide,92967-4,AVENGER AG BURNDOWN HERBICIDE,0.28,0,1,"Limonene ",3,NO,NO,NO
HERBICIDE,53883-172-87245,CHOICE TURF PREMIUM LAWN CARE FERTILIZER WITH 0.37% PRODIAMINE HERBICI,0,8750,1,Prodiamine,3,YES,NO,NO
Herbicide,10404-86,LESCO DIMENSION 0.15% PLUS FERTILIZER,0,5250,1,Dithiopyr,3,NO,NO,NO
HERBICIDE,961-362-89063,TURFGRASS FERTILIZER WITH BARRICADE 0.43% PREEMERGENCE WEED CONTROL,0,4500,1,Prodiamine,3,YES,NO,NO
Herbicide,9198-154,THE ANDERSONS FERTILIZER WITH .125% DIMENSION(R) AND 1.0% RONSTAR(R),0,1500,1,Dithiopyr; Oxadiazon,3,YES,YES,NO
Herbicide,9198-176,ANDERSON'S GOOSE/CRABGRASS CONTROL,0,252,1,Bensulide; Oxadiazon,2,YES,YES,NO
Herbicide,9198-213,THE ANDERSONS 0.25% GRANULAR DITHIOPYR HERBICIDE,0,49,1,Dithiopyr,3,NO,NO,NO
Herbicide,62719-445,DIMENSION* ULTRA 40WP,0,1.25,1,Dithiopyr,3,NO,NO,NO
Herbicide,352-401,DUPONT OUST HERBICIDE,0,0.01,1,Sulfometuron methyl,3,NO,NO,NO
Fungicide,68539-3,T-22G BIOLOGICAL PLANT PROTECTANT GRANULES,0,95.06,119,Trichoderma harzianum rifai strain KRL-AG2,3,NO,NO,NO
Fungicide,100-1364,DACONIL ACTION,822.76,6.25,107,Acibenzolar-S-methyl; Chlorothalonil,2,YES,NO,YES
Fungicide,53883-353,QUALI-PRO T-NEX,42.98,0,66,Trinexapac-ethyl,3,NO,NO,NO
Fungicide,101563-21,BANOL TURF AND ORNAMENTAL FUNGICIDE,136.39,0,60,Propamocarb hydrochloride,3,NO,NO,NO
FUNGICIDE,228-630-86064,ArmorTech TMI 2020 FLO,132.37,0,41,Thiophanate-methyl; Iprodione,3,YES,YES,NO
Fungicide,86064-6,ArmorTech ZOXY 2F,55.67,0,34,Azoxystrobin,3,NO,NO,NO
Fungicide,101563-162,12ESP705 FUNGICIDE,0,1056.5,34,Fosetyl-Al,3,NO,NO,NO
Fungicide,60063-7-10404,LESCO MANICRUE 6FL,297.64,0,31,Chlorothalonil,2,YES,NO,YES
Fungicide,69526-13,CIVITAS,110,0,29,Mineral oil,3,NO,NO,NO
Fungicide,89442-1,TEBUCONAZOLE 3.6 SELECT,41.99,0,27,Tebuconazole,3,YES,NO,NO
Fungicide,100-1633,Secure Action,36.6,0,26,Fluazinam; Acibenzolar-S-methyl,3,YES,NO,NO
Fungicide,53883-310,QUALI-PRO CHLOROTHALONIL 720 SFT,134.55,40,24,Chlorothalonil,2,YES,NO,YES
Fungicide,228-633,NUFARM PROPICONAZOLE SPC EC FUNGICIDE,42.48,0,21,Propiconazole,2,YES,NO,NO
FUNGICIDE,101563-210,Densicor,14.71,0,21,Prothioconazole,3,NO,NO,NO
Fungicide,432-1505,CHIPCO 26019T FUNGICIDE,114.61,0,20,Iprodione; Trifloxystrobin,3,YES,NO,NO
FUNGICIDE,83170-1,DUTCH TRIG,0.12,0,20,Verticillium dahliae isolate WCS 850,3,NO,NO,NO
Fungicide,70299-12,ZEROTOL 2.0,12.92,0,19,Peroxyacetic acid; Hydrogen peroxide,1,NO,NO,NO
Fungicide,53883-433,QUALI-PRO MEFENOXAM 2AQ,17.38,0,18,Mefenoxam,2,NO,NO,NO
Fungicide,7969-349,Xzemplar Fungicide,10.39,0,17,"Fluxapyroxad ",3,NO,NO,NO
FUNGICIDE,53883-310-86064,Armor Tech CLT 720 XL Fungicide,359.49,0,16,Chlorothalonil,2,YES,NO,YES
Fungicide,101563-113,TARTAN FLO FUNGICIDE,53.11,0,16,Triadimefon; Trifloxystrobin,3,YES,YES,NO
Fungicide,66222-117-86064,ARMOR TECH TEB360 XL,30.05,0,16,Tebuconazole,3,YES,NO,NO
Fungicide,101563-18,ALIETTE WDG BRAND FUNGICIDE,44,587.55,15,Fosetyl-Al,3,NO,NO,NO
Fungicide,101563-152,TEBUCONAZOLE SC TURF AND ORNAMENTAL FUNGICIDE,43.03,0,15,Tebuconazole,3,YES,NO,NO
Fungicide,42750-99,TEBUCONAZOLE 3.6FL,42.84,0,15,Tebuconazole,3,YES,NO,NO
Fungicide,100-892,ARBOTECT 20-S FUNGICIDE,30.37,0,15,Thiabendazole,3,YES,NO,NO
FUNGICIDE,7969-404,Maxtima Fungicide,12.78,0,15,Mefentrifluconazole,3,NO,NO,NO
Fungicide,68539-13,PB133,0.05,15.98,15,Potassium bicarbonate,3,NO,NO,NO
Fungicide,89442-28,IPRODIONE 2F SELECT,102.81,0,14,Iprodione,3,YES,NO,NO
Fungicide,264-1155,RHAPSODY AS0,17.5,0,14,QST 713 strain of dried Bacillus subtilis,3,NO,NO,NO
Fungicide,70870-1-68539,MILSTOP BROAD SPECTRUM FOLIAR FUNGICIDE,0.02,1.2,13,Potassium bicarbonate,NULL,NO,NO,NO
Fungicide,66222-117,ORIUS 3.6F,23.97,0,12,Tebuconazole,3,YES,NO,NO
FUNGICIDE,91234-199-86064,CYA 345,8.2,0,12,Cyazofamid,3,NO,NO,NO
Fungicide,228-737-52287,NUP-15013 Fungicide,20.64,0,11,Fluazinam,3,YES,NO,NO
Fungicide,89442-37,Fluazinam 40SC Select,18.28,0,11,Fluazinam,3,YES,NO,NO
FUNGICIDE,100-1654,A22070 Fungicide,58.09,0,10,Azoxystrobin; Propiconazole,2,YES,NO,NO
Fungicide,5481-617,EQUUS DF,20,910,10,Chlorothalonil,2,YES,NO,YES
Fungicide,68173-3-1001,AFFIRM WDG,0,104.55,10,Polyoxin D zinc salt,3,NO,NO,NO
Fungicide,432-888,CHIPCO 26019 FLO BRAND FUNGICIDE,86.31,0,9,Iprodione,3,YES,NO,NO
Fungicide,71512-13-2217,SEGWAY FUNGICIDE,11.67,0,9,Cyazofamid,3,NO,NO,NO
Fungicide,86064-1,ARMORTECH CLT 825 DF,0,225,9,Chlorothalonil,2,YES,NO,YES
Fungicide,60063-7,ECHO 720,73.84,0,8,Chlorothalonil,2,YES,NO,YES
FUNGICIDE,55260-9-89442,Propam Select,64.75,0,8,Propamocarb hydrochloride,NULL,NO,NO,NO
Fungicide,86064-4,ARMOR TECH PPZ 143 MC,46.49,0,8,Propiconazole,2,YES,NO,NO
Fungicide,432-888-10404,LESCO 18 PLUS TURF & ORNAMENTAL FUNGICIDE,42.23,0,8,Iprodione,3,YES,NO,NO
Fungicide,100-1433,BRISKWAY,19.86,0,8,Azoxystrobin; Difenoconazole,3,YES,NO,NO
Fungicide,53883-323-86064,ARMOR TECH TMI 2020XL,28.48,0,7,Thiophanate-methyl; Iprodione,3,YES,YES,NO
FUNGICIDE,100-1477,Ascernity,15.46,0,7,Difenoconazole,3,YES,NO,NO
Fungicide,84059-28,MBI-110 EP,2.29,0,7,Bacillus amyloliquefaciens strain F727,3,NO,NO,NO
Fungicide,60063-3-10404,LESCO MANICURE ULTRA,0,900,7,Chlorothalonil,2,YES,NO,YES
FUNGICIDE,100-1326-10404,LESCO Spectator Ultra Fungicide,28.75,0,6,Propiconazole,3,YES,NO,NO
Fungicide,228-739,NUP-15014 Fungicide,23.88,0,6,Tebuconazole; Fluazinam,3,YES,NO,NO
Fungicide,228-630-10404,LESCO TWOSOME FUNGICIDE,13.06,0,6,Iprodione; Thiophanate-methyl,3,YES,YES,NO
Fungicide,228-623-10404,LESCO SPECTATOR ULTRA 1.3 FUNGICIDE,12.38,0,6,Propiconazole,2,YES,NO,NO
FUNGICIDE,53883-454-10404,LESCO Drax Fungicide,4.98,0,6,Fluazinam,3,YES,NO,NO
Fungicide,432-890-10404,LESCO PRODIGY SIGNATURE,0,242,6,Fosetyl-Al,NULL,NO,NO,NO
Fungicide,59639-144,V-10116 VPP FUNGICIDE,0,31,6,Metconazole,3,NO,NO,NO
Fungicide,53883-343,AZOXYSTROBIN 50 WG,0,9.08,6,Azoxystrobin,3,NO,NO,NO
FUNGICIDE,9688-123-8845,SPECTRACIDE IMMUNOX MULTI-PURPOSE FUNGICIDE SPRAY CONCENTRATE,0.04,0.56,5,Myclobutanil,3,NO,YES,NO
Fungicide,7969-196,EMERALD FUNGICIDE,0,25.77,5,Nicobifen,2,YES,NO,NO
FUNGICIDE,86064-9,ArmorTech TM 462 F,34.71,0,4,Thiophanate-methyl,3,YES,YES,NO
Fungicide,50534-209-100,MANICURE 6 FLOWABLE,20,0,4,Chlorothalonil,NULL,NO,NO,NO
Fungicide,89442-14,THIOPHANATE METHYL 4.5F SELECT,18.41,0,4,Thiophanate-methyl,3,YES,YES,NO
Fungicide,7969-290,INSIGNIA SC INTRINSIC BRAND FUNGICIDE,8.15,0,4,Pyraclostrobin,2,NO,NO,NO
Fungicide,264-1155-68539,CEASE,4.8,0,4,QST 713 strain of dried Bacillus subtilis,3,NO,NO,NO
Fungicide,100-1600,A19649 200SC Turf,4.34,0,4,Pydiflumetofen,3,NO,NO,NO
FUNGICIDE,53883-393,CSI 15-114 Azoxystrobin,3.48,0,4,Azoxystrobin,3,NO,NO,NO
Fungicide,7969-350,LEXICON INTRINSIC BRAND FUNGICIDE,3.3,0,4,Fluxapyroxad; Pyraclostrobin,3,NO,NO,NO
FUNGICIDE,53883-477,CSI 19-349 Fludioxonil,2.23,0,4,Fludioxonil,3,NO,NO,NO
FUNGICIDE,60063-59-52287,Harrell's ProtectMAX(TM) Azoxy 25C Turf & Ornamental Fungicide,0.63,0,4,Azoxystrobin,2,NO,NO,NO
Fungicide,100-1550,HERITAGE ACTION,0.31,8.25,4,Acibenzolar-S-methyl; Azoxystrobin,3,NO,NO,NO
Fungicide,70299-15,GC PRO,0,242,4,Sodium percarbonate,1,NO,NO,NO
FUNGICIDE,61842-30-90930,MILLER LIME=SULFUR SOLUTION,34,0,3,Lime-sulfur,1,NO,NO,NO
FUNGICIDE,72112-2,TRANSOM 4.5 F,15.42,0,3,Thiophanate-methyl,3,YES,YES,NO
Fungicide,228-626,NUFARM T-METHYL PRO 4.5 F FUNGICIDE,10,0,3,Thiophanate-methyl,3,YES,YES,NO
Fungicide,67702-2-67690,CAMELOT O FUNGICIDE/BACTERICIDE,7.91,0,3,Copper octanoate,NULL,NO,NO,NO
Fungicide,228-737,NUP-15013 Fungicide,7.29,0,3,Fluazinam,3,YES,NO,NO
FUNGICIDE,83070-8,ADVAN PROPAMOCARB,6.5,0,3,Propamocarb hydrochloride,3,NO,NO,NO
Fungicide,70051-107-59807,TRIATHLON BA,4.5,0,3,Bacillus subtilis var. amyloliquefaciens strain D747,0,NO,NO,NO
FUNGICIDE,53883-313,QUALI-PRO CHLOROTHALONIL DF,4.13,50,3,Chlorothalonil,2,YES,NO,YES
Fungicide,101563-112,BAYLETON FLO TURF AND ORNAMENTAL FUNGICIDE,3.31,0,3,Triadimefon,3,YES,YES,NO
Fungicide,7969-184,Insignia Fungicide,2.91,0,3,Pyraclostrobin,3,NO,NO,NO
FUNGICIDE,69526-5-499,"PRESCRIPTION TREATMENT BRAND ULTRA-PURE OIL (WIDESCRIPTRO, HORTICULTUR",1.91,0,3,Mineral oil,3,NO,NO,NO
Fungicide,1001-70,3336 G,0,1260,3,Thiophanate-methyl,3,YES,YES,NO
Fungicide,53883-440,CSI 16-190 AZOXY + PPZ,0,1175,3,Propiconazole; Azoxystrobin,3,YES,NO,NO
FUNGICIDE,89442-46,FluazTeb Select,36.07,0,2,Fluazinam; Tebuconazole,3,YES,NO,NO
FUNGICIDE,2217-1049,EF-716 FUNGICIDE,16,0,2,Azoxystrobin; Cyazofamid,3,NO,NO,NO
Fungicide,50534-211-100,DACONIL ZN FLOWABLE FUNGICIDE,10,0,2,Chlorothalonil,NULL,NO,NO,NO
FUNGICIDE,89442-41,AzProp Select,10,0,2,Propiconazole; Azoxystrobin,3,YES,NO,NO
Fungicide,53883-375-86064,QUALI-PRO IPRO 2SE,9.25,0,2,Iprodione,3,YES,NO,NO
FUNGICIDE,42750-99-89442,TEBUCONAZOLE 3.6F SELECT,3.82,0,2,Tebuconazole,3,YES,NO,NO
Fungicide,100-1326,BANNER MAXX II,3.13,0,2,Propiconazole,3,YES,NO,NO
FUNGICIDE,93051-4,Rightline Azox 2 SC,1.87,0,2,Azoxystrobin,3,NO,NO,NO
Fungicide,89442-21,AZOXY 2SC SELECT,1.84,0,2,Azoxystrobin,3,NO,NO,NO
FUNGICIDE,89442-3,PPZ 41.8 SELECT,1.69,0,2,Propiconazole,2,YES,NO,NO
Fungicide,7969-255,HONOR FUNGICIDE,1.52,18.57,2,Nicobifen; Pyraclostrobin,3,YES,NO,NO
FUNGICIDE,84059-3,REGALIA BIOPROTECTANT CONCENTRATE,1.13,0,2,Reynoutria sachalinensis,3,NO,NO,NO
FUNGICIDE,8033-138-279,Serata Fungicide,1.09,8.7,2,Picarbutrazox,3,NO,NO,NO
Fungicide,62719-402-10404,LESCO MANCOZEB DG TURF AND ORNAMENTAL FUNGICIDE,0,96,2,Mancozeb,3,YES,NO,NO
Fungicide,53883-380,QUALI-PRO IPRO 2,0,40,2,Iprodione,3,YES,NO,NO
FUNGICIDE,53883-418,CSI 15-128B Azoxy + Propiconazole,0,32,2,Azoxystrobin; Propiconazole,3,YES,NO,NO
Fungicide,53883-363,BUMPER 14.3 EC (PROPICONAZOLE) FUNGICIDE,0,31.25,2,Propiconazole,3,YES,NO,NO
Fungicide,228-626-52287,NUFARM T-METHYL SPC 4.5 F FUNGICIDE,0,14.56,2,Thiophanate-methyl,3,YES,YES,NO
Fungicide,464-693-63288,CHEMICAR 15,75,0,1,Glutaraldehyde,1,NO,NO,NO
Fungicide,228-623,NUFARM PROPICONAZOLE SPC 14.3 MEC FUNGICIDE,42.5,0,1,Propiconazole,2,YES,NO,NO
FUNGICIDE,71711-28-2217,Pedigree Fungicide SC,12.66,0,1,Flutolanil,3,NO,NO,NO
Fungicide,100-1231,INSTRATA,9.53,0,1,Chlorothalonil; Fludioxonil; Propiconazole,3,YES,NO,YES
Fungicide,101563-148,ES TC006A,7.5,0,1,Mono- and di- potassium salts of phosphorous acid,0,NO,NO,NO
FUNGICIDE,101563-223,19ESP006,5.44,0,1,"Fluopyram, Propamocarb hydrochloride, Prothioconazole ",3,NO,NO,NO
FUNGICIDE,100-1694,DACONIL SDG,2.5,0,1,Chlorothalonil,1,YES,NO,YES
FUNGICIDE,7969-403,NAVICON INTRINSIC BRAND FUNGICIDE,1.16,0,1,Pyraclostrobin; Mefentrifluconazole,3,NO,NO,NO
FUNGICIDE,70506-571,TERRAZOLE 4EC,1,0,1,Terrazole,1,YES,NO,NO
Fungicide,100-1216,BANNER HERITAGE MAXX,1,0,1,Azoxystrobin; Propiconazole,3,YES,NO,NO
Fungicide,71512-20-100,SECURE,0.39,0,1,Fluazinam,2,YES,NO,NO
Fungicide,71512-13-279,SEGWAY FUNGICIDE,0.31,0,1,Cyazofamid,3,NO,NO,NO
Fungicide,73806-1,K-PHITE 7LP Fungicide,0.17,0,1,Mono- and di- potassium salts of phosphorous acid,3,NO,NO,NO
FUNGICIDE,961-277,LEBANON TURF FUNGICIDE CONTAINS DACONIL,0,400,1,Chlorothalonil,3,YES,NO,YES
Fungicide,9198-115,THE ANDERSONS TURF FUNGICIDE WITH 5.0% DACONIL,0,360,1,Chlorothalonil,1,YES,NO,YES
Fungicide,50534-202-100,MANICURE ULTREX TURF & ORNAMENTAL,0,84.4,1,Chlorothalonil,NULL,NO,NO,NO
Fungicide,70506-272,PEGASUS DFX,0,20,1,Chlorothalonil,1,YES,NO,YES
FUNGICIDE,53883-483,Quali-Pro TM 4.5,0,20,1,Thiophanate-methyl,3,YES,YES,NO
FUNGICIDE,70506-187,MICROTHIOL DISPERSS,0,15,1,Sulfur,3,NO,NO,NO
FUNGICIDE,91234-199-53883,Gateway Fungicide SC,0,2.5,1,Cyazofamid,3,NO,NO,NO
Fungicide,91234-199-52287,Harrells ProtectMAX Cyazo,0,2.5,1,Cyazofamid,3,NO,NO,NO
Fungicide,100-1093,HERITAGE FUNGICIDE,0,1.25,1,Azoxystrobin,3,NO,NO,NO
Fungicide,62388-1-93445,NOGALL,0,0.55,1,Agrobacterium radiobacter strain K1026,NULL,NO,NO,NO
Fungicide,100-1434,MEDALLION WDG,0,0,1,Fludioxonil,3,NO,NO,NO
